<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;D;01/06/07;00:00:00;66.0000000
AFLT;D;04/06/07;00:00:00;64.9000000
AFLT;D;05/06/07;00:00:00;63.4000000
AFLT;D;06/06/07;00:00:00;64.1000000
AFLT;D;07/06/07;00:00:00;63.6700000
AFLT;D;08/06/07;00:00:00;64.0000000
AFLT;D;09/06/07;00:00:00;64.8800000
AFLT;D;13/06/07;00:00:00;64.2000000
AFLT;D;14/06/07;00:00:00;64.7300000
AFLT;D;15/06/07;00:00:00;64.9700000
AFLT;D;18/06/07;00:00:00;67.0000000
AFLT;D;19/06/07;00:00:00;72.7000000
AFLT;D;20/06/07;00:00:00;72.8200000
AFLT;D;21/06/07;00:00:00;72.0000000
AFLT;D;22/06/07;00:00:00;71.8000000
AFLT;D;25/06/07;00:00:00;71.4400000
AFLT;D;26/06/07;00:00:00;71.4700000
AFLT;D;27/06/07;00:00:00;74.0900000
AFLT;D;28/06/07;00:00:00;73.8900000
AFLT;D;29/06/07;00:00:00;73.8900000
AFLT;D;02/07/07;00:00:00;73.1900000
AFLT;D;03/07/07;00:00:00;72.1000000
AFLT;D;04/07/07;00:00:00;74.5000000
AFLT;D;05/07/07;00:00:00;76.3800000
AFLT;D;06/07/07;00:00:00;77.2000000
AFLT;D;09/07/07;00:00:00;76.8700000
AFLT;D;10/07/07;00:00:00;75.6700000
AFLT;D;11/07/07;00:00:00;76.9000000
AFLT;D;12/07/07;00:00:00;77.4500000
AFLT;D;13/07/07;00:00:00;76.0000000
AFLT;D;16/07/07;00:00:00;76.3900000
AFLT;D;17/07/07;00:00:00;76.3500000
AFLT;D;18/07/07;00:00:00;75.1000000
AFLT;D;19/07/07;00:00:00;75.9000000
AFLT;D;20/07/07;00:00:00;75.4000000
AFLT;D;23/07/07;00:00:00;74.9400000
AFLT;D;24/07/07;00:00:00;73.9000000
AFLT;D;25/07/07;00:00:00;73.2500000
AFLT;D;26/07/07;00:00:00;71.2000000
AFLT;D;27/07/07;00:00:00;69.9000000
AFLT;D;30/07/07;00:00:00;69.3300000
AFLT;D;31/07/07;00:00:00;69.9900000
AFLT;D;01/08/07;00:00:00;68.0100000
AFLT;D;02/08/07;00:00:00;68.5000000
AFLT;D;03/08/07;00:00:00;69.0000000
AFLT;D;06/08/07;00:00:00;69.8000000
AFLT;D;07/08/07;00:00:00;71.5000000
AFLT;D;08/08/07;00:00:00;73.4400000
AFLT;D;09/08/07;00:00:00;70.4300000
AFLT;D;10/08/07;00:00:00;70.0900000
AFLT;D;13/08/07;00:00:00;72.0000000
AFLT;D;14/08/07;00:00:00;72.3700000
AFLT;D;15/08/07;00:00:00;70.5000000
AFLT;D;16/08/07;00:00:00;69.2500000
AFLT;D;17/08/07;00:00:00;68.9500000
AFLT;D;20/08/07;00:00:00;69.3000000
AFLT;D;21/08/07;00:00:00;69.3000000
AFLT;D;22/08/07;00:00:00;71.0000000
AFLT;D;23/08/07;00:00:00;70.0200000
AFLT;D;24/08/07;00:00:00;70.0000000
AFLT;D;27/08/07;00:00:00;70.1500000
AFLT;D;28/08/07;00:00:00;69.4600000
AFLT;D;29/08/07;00:00:00;69.0700000
AFLT;D;30/08/07;00:00:00;69.5300000
AFLT;D;31/08/07;00:00:00;69.8100000
AFLT;D;03/09/07;00:00:00;70.4000000
AFLT;D;04/09/07;00:00:00;70.0000000
AFLT;D;05/09/07;00:00:00;70.0000000
AFLT;D;06/09/07;00:00:00;70.0000000
AFLT;D;07/09/07;00:00:00;70.0500000
AFLT;D;10/09/07;00:00:00;70.7000000
AFLT;D;11/09/07;00:00:00;70.9700000
AFLT;D;12/09/07;00:00:00;70.7000000
AFLT;D;13/09/07;00:00:00;71.2100000
AFLT;D;14/09/07;00:00:00;71.1600000
AFLT;D;17/09/07;00:00:00;72.0000000
AFLT;D;18/09/07;00:00:00;72.7000000
AFLT;D;19/09/07;00:00:00;76.4900000
AFLT;D;20/09/07;00:00:00;74.8300000
AFLT;D;21/09/07;00:00:00;74.8000000
AFLT;D;24/09/07;00:00:00;75.5000000
AFLT;D;25/09/07;00:00:00;75.0900000
AFLT;D;26/09/07;00:00:00;77.9700000
AFLT;D;27/09/07;00:00:00;77.8100000
AFLT;D;28/09/07;00:00:00;77.3000000
AFLT;D;01/10/07;00:00:00;78.2400000
AFLT;D;02/10/07;00:00:00;78.4200000
AFLT;D;03/10/07;00:00:00;77.4800000
AFLT;D;04/10/07;00:00:00;77.2600000
AFLT;D;05/10/07;00:00:00;77.7000000
AFLT;D;08/10/07;00:00:00;77.2500000
AFLT;D;09/10/07;00:00:00;76.5000000
AFLT;D;10/10/07;00:00:00;76.2000000
AFLT;D;11/10/07;00:00:00;80.1000000
AFLT;D;12/10/07;00:00:00;81.1500000
AFLT;D;15/10/07;00:00:00;82.1000000
AFLT;D;16/10/07;00:00:00;83.2000000
AFLT;D;17/10/07;00:00:00;84.1900000
AFLT;D;18/10/07;00:00:00;83.5000000
AFLT;D;19/10/07;00:00:00;82.0100000
AFLT;D;22/10/07;00:00:00;80.1000000
AFLT;D;23/10/07;00:00:00;80.5900000
AFLT;D;24/10/07;00:00:00;82.2400000
AFLT;D;25/10/07;00:00:00;83.8300000
AFLT;D;26/10/07;00:00:00;84.7100000
AFLT;D;29/10/07;00:00:00;85.4000000
AFLT;D;30/10/07;00:00:00;84.7000000
AFLT;D;31/10/07;00:00:00;85.1700000
AFLT;D;01/11/07;00:00:00;83.4900000
AFLT;D;02/11/07;00:00:00;85.9500000
AFLT;D;06/11/07;00:00:00;86.0100000
