<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;01/06/07;00:00:00;244.8000000
GAZP;D;04/06/07;00:00:00;246.3000000
GAZP;D;05/06/07;00:00:00;247.0000000
GAZP;D;06/06/07;00:00:00;244.0000000
GAZP;D;07/06/07;00:00:00;241.2800000
GAZP;D;08/06/07;00:00:00;241.3000000
GAZP;D;09/06/07;00:00:00;243.0000000
GAZP;D;13/06/07;00:00:00;246.6400000
GAZP;D;14/06/07;00:00:00;257.7000000
GAZP;D;15/06/07;00:00:00;265.0000000
GAZP;D;18/06/07;00:00:00;264.8200000
GAZP;D;19/06/07;00:00:00;264.6900000
GAZP;D;20/06/07;00:00:00;268.2400000
GAZP;D;21/06/07;00:00:00;262.4000000
GAZP;D;22/06/07;00:00:00;262.9600000
GAZP;D;25/06/07;00:00:00;257.8800000
GAZP;D;26/06/07;00:00:00;261.9900000
GAZP;D;27/06/07;00:00:00;260.3400000
GAZP;D;28/06/07;00:00:00;264.5300000
GAZP;D;29/06/07;00:00:00;267.7400000
GAZP;D;02/07/07;00:00:00;272.1700000
GAZP;D;03/07/07;00:00:00;273.1200000
GAZP;D;04/07/07;00:00:00;270.4500000
GAZP;D;05/07/07;00:00:00;273.9500000
GAZP;D;06/07/07;00:00:00;274.8000000
GAZP;D;09/07/07;00:00:00;278.0000000
GAZP;D;10/07/07;00:00:00;273.0000000
GAZP;D;11/07/07;00:00:00;276.3000000
GAZP;D;12/07/07;00:00:00;284.7400000
GAZP;D;13/07/07;00:00:00;287.6700000
GAZP;D;16/07/07;00:00:00;292.0600000
GAZP;D;17/07/07;00:00:00;290.2500000
GAZP;D;18/07/07;00:00:00;286.4000000
GAZP;D;19/07/07;00:00:00;292.5100000
GAZP;D;20/07/07;00:00:00;291.2700000
GAZP;D;23/07/07;00:00:00;291.3200000
GAZP;D;24/07/07;00:00:00;283.3000000
GAZP;D;25/07/07;00:00:00;283.5000000
GAZP;D;26/07/07;00:00:00;273.5000000
GAZP;D;27/07/07;00:00:00;268.4000000
GAZP;D;30/07/07;00:00:00;271.6500000
GAZP;D;31/07/07;00:00:00;275.6000000
GAZP;D;01/08/07;00:00:00;269.9500000
GAZP;D;02/08/07;00:00:00;273.8000000
GAZP;D;03/08/07;00:00:00;277.3900000
GAZP;D;06/08/07;00:00:00;271.4700000
GAZP;D;07/08/07;00:00:00;273.2000000
GAZP;D;08/08/07;00:00:00;280.0300000
GAZP;D;09/08/07;00:00:00;271.9000000
GAZP;D;10/08/07;00:00:00;266.1300000
GAZP;D;13/08/07;00:00:00;270.8300000
GAZP;D;14/08/07;00:00:00;269.0100000
GAZP;D;15/08/07;00:00:00;263.7500000
GAZP;D;16/08/07;00:00:00;258.9500000
GAZP;D;17/08/07;00:00:00;263.9900000
GAZP;D;20/08/07;00:00:00;261.4900000
GAZP;D;21/08/07;00:00:00;258.8900000
GAZP;D;22/08/07;00:00:00;263.5600000
GAZP;D;23/08/07;00:00:00;264.1900000
GAZP;D;24/08/07;00:00:00;262.1900000
GAZP;D;27/08/07;00:00:00;265.1500000
GAZP;D;28/08/07;00:00:00;262.5000000
GAZP;D;29/08/07;00:00:00;261.5800000
GAZP;D;30/08/07;00:00:00;261.0100000
GAZP;D;31/08/07;00:00:00;265.8000000
GAZP;D;03/09/07;00:00:00;264.9200000
GAZP;D;04/09/07;00:00:00;263.0000000
GAZP;D;05/09/07;00:00:00;262.0000000
GAZP;D;06/09/07;00:00:00;266.6900000
GAZP;D;07/09/07;00:00:00;262.0200000
GAZP;D;10/09/07;00:00:00;260.9000000
GAZP;D;11/09/07;00:00:00;263.1900000
GAZP;D;12/09/07;00:00:00;262.0100000
GAZP;D;13/09/07;00:00:00;269.9800000
GAZP;D;14/09/07;00:00:00;268.1900000
GAZP;D;17/09/07;00:00:00;265.9000000
GAZP;D;18/09/07;00:00:00;268.0000000
GAZP;D;19/09/07;00:00:00;276.5400000
GAZP;D;20/09/07;00:00:00;274.0000000
GAZP;D;21/09/07;00:00:00;272.2500000
GAZP;D;24/09/07;00:00:00;273.0000000
GAZP;D;25/09/07;00:00:00;269.2000000
GAZP;D;26/09/07;00:00:00;273.5500000
GAZP;D;27/09/07;00:00:00;273.8000000
GAZP;D;28/09/07;00:00:00;274.2000000
GAZP;D;01/10/07;00:00:00;272.1200000
GAZP;D;02/10/07;00:00:00;282.3000000
GAZP;D;03/10/07;00:00:00;280.3000000
GAZP;D;04/10/07;00:00:00;283.7100000
GAZP;D;05/10/07;00:00:00;289.5000000
GAZP;D;08/10/07;00:00:00;292.0500000
GAZP;D;09/10/07;00:00:00;293.9800000
GAZP;D;10/10/07;00:00:00;292.0000000
GAZP;D;11/10/07;00:00:00;297.0000000
GAZP;D;12/10/07;00:00:00;293.4000000
GAZP;D;15/10/07;00:00:00;295.1400000
GAZP;D;16/10/07;00:00:00;293.1700000
GAZP;D;17/10/07;00:00:00;293.2000000
GAZP;D;18/10/07;00:00:00;290.4000000
GAZP;D;19/10/07;00:00:00;289.2500000
GAZP;D;22/10/07;00:00:00;284.4500000
GAZP;D;23/10/07;00:00:00;286.7000000
GAZP;D;24/10/07;00:00:00;284.1900000
GAZP;D;25/10/07;00:00:00;287.1500000
GAZP;D;26/10/07;00:00:00;295.0200000
GAZP;D;29/10/07;00:00:00;303.8000000
GAZP;D;30/10/07;00:00:00;304.7500000
GAZP;D;31/10/07;00:00:00;306.6800000
GAZP;D;01/11/07;00:00:00;305.4000000
GAZP;D;02/11/07;00:00:00;307.9200000
GAZP;D;06/11/07;00:00:00;315.0000000
GAZP;D;07/11/07;00:00:00;317.6100000
GAZP;D;08/11/07;00:00:00;323.2500000
GAZP;D;09/11/07;00:00:00;320.9300000
GAZP;D;12/11/07;00:00:00;321.1500000
GAZP;D;13/11/07;00:00:00;317.7000000
GAZP;D;14/11/07;00:00:00;320.7000000
GAZP;D;15/11/07;00:00:00;318.2000000
GAZP;D;16/11/07;00:00:00;313.2000000
GAZP;D;19/11/07;00:00:00;310.9500000
GAZP;D;20/11/07;00:00:00;313.2000000
GAZP;D;21/11/07;00:00:00;306.5000000
GAZP;D;22/11/07;00:00:00;308.1000000
GAZP;D;23/11/07;00:00:00;306.8000000
GAZP;D;26/11/07;00:00:00;311.0000000
GAZP;D;27/11/07;00:00:00;307.5500000
GAZP;D;28/11/07;00:00:00;311.4300000
GAZP;D;29/11/07;00:00:00;315.9000000
GAZP;D;30/11/07;00:00:00;323.3900000
GAZP;D;03/12/07;00:00:00;323.1100000
GAZP;D;04/12/07;00:00:00;329.0200000
GAZP;D;05/12/07;00:00:00;345.1000000
GAZP;D;06/12/07;00:00:00;343.7100000
GAZP;D;07/12/07;00:00:00;347.7000000
GAZP;D;10/12/07;00:00:00;354.9100000
GAZP;D;11/12/07;00:00:00;353.0000000
GAZP;D;12/12/07;00:00:00;357.2000000
GAZP;D;13/12/07;00:00:00;346.8500000
GAZP;D;14/12/07;00:00:00;342.7000000
GAZP;D;17/12/07;00:00:00;340.5000000
GAZP;D;18/12/07;00:00:00;349.2500000
GAZP;D;19/12/07;00:00:00;345.0600000
GAZP;D;20/12/07;00:00:00;352.0000000
GAZP;D;21/12/07;00:00:00;354.0000000
GAZP;D;24/12/07;00:00:00;351.7500000
GAZP;D;25/12/07;00:00:00;349.0000000
GAZP;D;26/12/07;00:00:00;347.6400000
GAZP;D;27/12/07;00:00:00;348.9900000
GAZP;D;28/12/07;00:00:00;342.8800000
GAZP;D;09/01/08;00:00:00;352.6900000
GAZP;D;10/01/08;00:00:00;352.4000000
GAZP;D;11/01/08;00:00:00;355.9100000
GAZP;D;14/01/08;00:00:00;363.7000000
GAZP;D;15/01/08;00:00:00;360.2400000
GAZP;D;16/01/08;00:00:00;342.4500000
GAZP;D;17/01/08;00:00:00;331.0400000
GAZP;D;18/01/08;00:00:00;327.0500000
GAZP;D;21/01/08;00:00:00;303.8000000
GAZP;D;22/01/08;00:00:00;307.0000000
GAZP;D;23/01/08;00:00:00;296.0000000
GAZP;D;24/01/08;00:00:00;307.2000000
GAZP;D;25/01/08;00:00:00;316.2300000
GAZP;D;28/01/08;00:00:00;305.3200000
GAZP;D;29/01/08;00:00:00;312.8300000
GAZP;D;30/01/08;00:00:00;305.9500000
GAZP;D;31/01/08;00:00:00;290.9500000
GAZP;D;01/02/08;00:00:00;305.2000000
GAZP;D;04/02/08;00:00:00;312.8800000
GAZP;D;05/02/08;00:00:00;302.4900000
GAZP;D;06/02/08;00:00:00;297.7000000
GAZP;D;07/02/08;00:00:00;289.0900000
GAZP;D;08/02/08;00:00:00;286.3100000
GAZP;D;11/02/08;00:00:00;292.2500000
GAZP;D;12/02/08;00:00:00;302.8200000
GAZP;D;13/02/08;00:00:00;307.8100000
GAZP;D;14/02/08;00:00:00;309.4500000
GAZP;D;15/02/08;00:00:00;305.5000000
GAZP;D;18/02/08;00:00:00;312.7500000
GAZP;D;19/02/08;00:00:00;318.9500000
GAZP;D;20/02/08;00:00:00;313.3000000
GAZP;D;21/02/08;00:00:00;319.2000000
GAZP;D;22/02/08;00:00:00;317.0500000
GAZP;D;26/02/08;00:00:00;316.5000000
GAZP;D;27/02/08;00:00:00;314.4700000
GAZP;D;28/02/08;00:00:00;310.5400000
GAZP;D;29/02/08;00:00:00;304.9500000
GAZP;D;03/03/08;00:00:00;301.2100000
GAZP;D;04/03/08;00:00:00;306.7000000
GAZP;D;05/03/08;00:00:00;307.3000000
GAZP;D;06/03/08;00:00:00;305.1100000
GAZP;D;07/03/08;00:00:00;298.6700000
GAZP;D;11/03/08;00:00:00;309.4900000
GAZP;D;12/03/08;00:00:00;310.1000000
GAZP;D;13/03/08;00:00:00;302.2500000
GAZP;D;14/03/08;00:00:00;303.9700000
GAZP;D;17/03/08;00:00:00;290.3500000
GAZP;D;18/03/08;00:00:00;296.4700000
GAZP;D;19/03/08;00:00:00;294.7700000
GAZP;D;20/03/08;00:00:00;288.0100000
