<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
KMAZ;D;01/06/07;00:00:00;83.0000000
KMAZ;D;04/06/07;00:00:00;83.0000000
KMAZ;D;05/06/07;00:00:00;84.7900000
KMAZ;D;06/06/07;00:00:00;90.7000000
KMAZ;D;07/06/07;00:00:00;99.4900000
KMAZ;D;08/06/07;00:00:00;103.9000000
KMAZ;D;09/06/07;00:00:00;115.6120000
KMAZ;D;13/06/07;00:00:00;116.9990000
KMAZ;D;14/06/07;00:00:00;121.8000000
KMAZ;D;15/06/07;00:00:00;113.0000000
KMAZ;D;18/06/07;00:00:00;109.1000000
KMAZ;D;19/06/07;00:00:00;102.5000000
KMAZ;D;20/06/07;00:00:00;104.0000000
KMAZ;D;21/06/07;00:00:00;100.0000000
KMAZ;D;22/06/07;00:00:00;106.9000000
KMAZ;D;25/06/07;00:00:00;116.4450000
KMAZ;D;26/06/07;00:00:00;112.3970000
KMAZ;D;27/06/07;00:00:00;110.0010000
KMAZ;D;28/06/07;00:00:00;110.0000000
KMAZ;D;29/06/07;00:00:00;109.5000000
KMAZ;D;02/07/07;00:00:00;107.9900000
KMAZ;D;03/07/07;00:00:00;111.0000000
KMAZ;D;04/07/07;00:00:00;111.0000000
KMAZ;D;05/07/07;00:00:00;109.2010000
KMAZ;D;06/07/07;00:00:00;109.9800000
KMAZ;D;09/07/07;00:00:00;109.2000000
KMAZ;D;10/07/07;00:00:00;115.1970000
KMAZ;D;11/07/07;00:00:00;116.1200000
KMAZ;D;12/07/07;00:00:00;115.9000000
KMAZ;D;13/07/07;00:00:00;118.5000000
KMAZ;D;16/07/07;00:00:00;118.0000000
KMAZ;D;17/07/07;00:00:00;117.9000000
KMAZ;D;18/07/07;00:00:00;122.0000000
KMAZ;D;19/07/07;00:00:00;119.4500000
KMAZ;D;20/07/07;00:00:00;120.0000000
KMAZ;D;23/07/07;00:00:00;118.9950000
KMAZ;D;24/07/07;00:00:00;117.2640000
KMAZ;D;25/07/07;00:00:00;115.5000000
KMAZ;D;26/07/07;00:00:00;114.5100000
KMAZ;D;27/07/07;00:00:00;113.0000000
KMAZ;D;30/07/07;00:00:00;116.0000000
KMAZ;D;31/07/07;00:00:00;115.0000000
KMAZ;D;01/08/07;00:00:00;116.5000000
KMAZ;D;02/08/07;00:00:00;117.2990000
KMAZ;D;03/08/07;00:00:00;119.7000000
KMAZ;D;06/08/07;00:00:00;118.0000000
KMAZ;D;07/08/07;00:00:00;118.9990000
KMAZ;D;08/08/07;00:00:00;117.0000000
KMAZ;D;09/08/07;00:00:00;117.4490000
KMAZ;D;10/08/07;00:00:00;116.0000000
KMAZ;D;13/08/07;00:00:00;116.5000000
KMAZ;D;14/08/07;00:00:00;116.0000000
KMAZ;D;15/08/07;00:00:00;115.0000000
KMAZ;D;16/08/07;00:00:00;114.7300000
KMAZ;D;17/08/07;00:00:00;114.7000000
KMAZ;D;20/08/07;00:00:00;114.0000000
KMAZ;D;21/08/07;00:00:00;114.0000000
KMAZ;D;22/08/07;00:00:00;114.4000000
KMAZ;D;23/08/07;00:00:00;112.9490000
KMAZ;D;24/08/07;00:00:00;111.9990000
KMAZ;D;27/08/07;00:00:00;111.3000000
KMAZ;D;28/08/07;00:00:00;112.0000000
KMAZ;D;29/08/07;00:00:00;109.6000000
KMAZ;D;30/08/07;00:00:00;109.5000000
KMAZ;D;31/08/07;00:00:00;114.9990000
KMAZ;D;03/09/07;00:00:00;113.1000000
KMAZ;D;04/09/07;00:00:00;112.0000000
KMAZ;D;05/09/07;00:00:00;112.0000000
KMAZ;D;06/09/07;00:00:00;111.1000000
KMAZ;D;07/09/07;00:00:00;109.5000000
KMAZ;D;10/09/07;00:00:00;109.5500000
KMAZ;D;11/09/07;00:00:00;109.0000000
KMAZ;D;12/09/07;00:00:00;106.9970000
KMAZ;D;13/09/07;00:00:00;106.9860000
KMAZ;D;14/09/07;00:00:00;106.9980000
KMAZ;D;17/09/07;00:00:00;104.0000000
KMAZ;D;18/09/07;00:00:00;106.0000000
KMAZ;D;19/09/07;00:00:00;106.0000000
KMAZ;D;20/09/07;00:00:00;100.4960000
KMAZ;D;21/09/07;00:00:00;99.9990000
KMAZ;D;24/09/07;00:00:00;107.1000000
KMAZ;D;25/09/07;00:00:00;106.0000000
KMAZ;D;26/09/07;00:00:00;105.2500000
KMAZ;D;27/09/07;00:00:00;104.2500000
KMAZ;D;28/09/07;00:00:00;104.0000000
KMAZ;D;01/10/07;00:00:00;100.0000000
KMAZ;D;02/10/07;00:00:00;97.0520000
KMAZ;D;03/10/07;00:00:00;95.0000000
KMAZ;D;04/10/07;00:00:00;94.4000000
KMAZ;D;05/10/07;00:00:00;95.5000000
KMAZ;D;08/10/07;00:00:00;95.5000000
KMAZ;D;09/10/07;00:00:00;94.8800000
KMAZ;D;10/10/07;00:00:00;95.1600000
KMAZ;D;11/10/07;00:00:00;95.2250000
KMAZ;D;12/10/07;00:00:00;95.5000000
KMAZ;D;15/10/07;00:00:00;96.7000000
KMAZ;D;16/10/07;00:00:00;96.7280000
KMAZ;D;17/10/07;00:00:00;96.4990000
KMAZ;D;18/10/07;00:00:00;96.2500000
KMAZ;D;19/10/07;00:00:00;95.6000000
KMAZ;D;22/10/07;00:00:00;96.3000000
KMAZ;D;23/10/07;00:00:00;97.3000000
KMAZ;D;24/10/07;00:00:00;97.2500000
KMAZ;D;25/10/07;00:00:00;98.2000000
KMAZ;D;26/10/07;00:00:00;100.0000000
KMAZ;D;29/10/07;00:00:00;101.3000000
KMAZ;D;30/10/07;00:00:00;100.0000000
KMAZ;D;31/10/07;00:00:00;103.4700000
KMAZ;D;01/11/07;00:00:00;102.3000000
KMAZ;D;02/11/07;00:00:00;102.3000000
KMAZ;D;06/11/07;00:00:00;102.0020000
KMAZ;D;07/11/07;00:00:00;100.7980000
KMAZ;D;08/11/07;00:00:00;99.9000000
KMAZ;D;09/11/07;00:00:00;99.7000000
KMAZ;D;12/11/07;00:00:00;101.2500000
KMAZ;D;13/11/07;00:00:00;101.5000000
KMAZ;D;14/11/07;00:00:00;105.8000000
KMAZ;D;15/11/07;00:00:00;106.6750000
KMAZ;D;16/11/07;00:00:00;105.3000000
KMAZ;D;19/11/07;00:00:00;104.5000000
KMAZ;D;20/11/07;00:00:00;106.9990000
KMAZ;D;21/11/07;00:00:00;108.0000000
KMAZ;D;22/11/07;00:00:00;107.0000000
KMAZ;D;23/11/07;00:00:00;107.0000000
KMAZ;D;26/11/07;00:00:00;107.0100000
KMAZ;D;27/11/07;00:00:00;107.2500000
KMAZ;D;28/11/07;00:00:00;108.0000000
KMAZ;D;29/11/07;00:00:00;110.0000000
KMAZ;D;30/11/07;00:00:00;107.5000000
KMAZ;D;03/12/07;00:00:00;110.0000000
KMAZ;D;04/12/07;00:00:00;110.0000000
KMAZ;D;05/12/07;00:00:00;110.0000000
KMAZ;D;06/12/07;00:00:00;111.5000000
KMAZ;D;07/12/07;00:00:00;112.5000000
KMAZ;D;10/12/07;00:00:00;118.0200000
KMAZ;D;11/12/07;00:00:00;118.7990000
KMAZ;D;12/12/07;00:00:00;117.0290000
KMAZ;D;13/12/07;00:00:00;116.0000000
KMAZ;D;14/12/07;00:00:00;117.9500000
KMAZ;D;17/12/07;00:00:00;118.0000000
KMAZ;D;18/12/07;00:00:00;117.9900000
KMAZ;D;19/12/07;00:00:00;117.1000000
KMAZ;D;20/12/07;00:00:00;121.9990000
KMAZ;D;21/12/07;00:00:00;135.0000000
KMAZ;D;24/12/07;00:00:00;136.9980000
KMAZ;D;25/12/07;00:00:00;130.0000000
KMAZ;D;26/12/07;00:00:00;126.3300000
KMAZ;D;27/12/07;00:00:00;129.9900000
KMAZ;D;28/12/07;00:00:00;126.0500000
KMAZ;D;09/01/08;00:00:00;131.5000000
KMAZ;D;10/01/08;00:00:00;142.9900000
KMAZ;D;11/01/08;00:00:00;144.1900000
KMAZ;D;14/01/08;00:00:00;152.0000000
KMAZ;D;15/01/08;00:00:00;161.9900000
KMAZ;D;16/01/08;00:00:00;173.0000000
KMAZ;D;17/01/08;00:00:00;166.7500000
KMAZ;D;18/01/08;00:00:00;154.1000000
KMAZ;D;21/01/08;00:00:00;143.0000000
KMAZ;D;22/01/08;00:00:00;142.9000000
KMAZ;D;23/01/08;00:00:00;143.0000000
KMAZ;D;24/01/08;00:00:00;150.0000000
KMAZ;D;25/01/08;00:00:00;146.5020000
KMAZ;D;28/01/08;00:00:00;144.7000000
KMAZ;D;29/01/08;00:00:00;146.7700000
