<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;01/06/07;00:00:00;2011.0000000
LKOH;D;04/06/07;00:00:00;1993.1000000
LKOH;D;05/06/07;00:00:00;1980.0000000
LKOH;D;06/06/07;00:00:00;1964.5000000
LKOH;D;07/06/07;00:00:00;1951.6200000
LKOH;D;08/06/07;00:00:00;1956.9700000
LKOH;D;09/06/07;00:00:00;1956.0100000
LKOH;D;13/06/07;00:00:00;1956.0000000
LKOH;D;14/06/07;00:00:00;2001.0000000
LKOH;D;15/06/07;00:00:00;2033.0000000
LKOH;D;18/06/07;00:00:00;2019.4000000
LKOH;D;19/06/07;00:00:00;2013.1100000
LKOH;D;20/06/07;00:00:00;2073.0000000
LKOH;D;21/06/07;00:00:00;2046.0000000
LKOH;D;22/06/07;00:00:00;2025.0000000
LKOH;D;25/06/07;00:00:00;1985.0000000
LKOH;D;26/06/07;00:00:00;2019.9700000
LKOH;D;27/06/07;00:00:00;1990.0000000
LKOH;D;28/06/07;00:00:00;1992.4900000
LKOH;D;29/06/07;00:00:00;1969.0000000
LKOH;D;02/07/07;00:00:00;1963.9000000
LKOH;D;03/07/07;00:00:00;2019.0000000
LKOH;D;04/07/07;00:00:00;2015.0000000
LKOH;D;05/07/07;00:00:00;2048.9000000
LKOH;D;06/07/07;00:00:00;2073.0000000
LKOH;D;09/07/07;00:00:00;2083.7000000
LKOH;D;10/07/07;00:00:00;2056.0000000
LKOH;D;11/07/07;00:00:00;2085.2000000
LKOH;D;12/07/07;00:00:00;2136.9400000
LKOH;D;13/07/07;00:00:00;2145.0000000
LKOH;D;16/07/07;00:00:00;2146.0000000
LKOH;D;17/07/07;00:00:00;2168.0000000
LKOH;D;18/07/07;00:00:00;2138.0000000
LKOH;D;19/07/07;00:00:00;2179.9000000
LKOH;D;20/07/07;00:00:00;2154.9900000
LKOH;D;23/07/07;00:00:00;2174.0000000
LKOH;D;24/07/07;00:00:00;2117.0000000
LKOH;D;25/07/07;00:00:00;2128.0000000
LKOH;D;26/07/07;00:00:00;2076.7000000
LKOH;D;27/07/07;00:00:00;2030.0000000
LKOH;D;30/07/07;00:00:00;2033.0000000
LKOH;D;31/07/07;00:00:00;2058.2000000
LKOH;D;01/08/07;00:00:00;1993.0000000
LKOH;D;02/08/07;00:00:00;2010.0100000
LKOH;D;03/08/07;00:00:00;2020.1000000
LKOH;D;06/08/07;00:00:00;1978.0000000
LKOH;D;07/08/07;00:00:00;1969.0000000
LKOH;D;08/08/07;00:00:00;2016.3300000
LKOH;D;09/08/07;00:00:00;1967.4000000
LKOH;D;10/08/07;00:00:00;1913.0000000
LKOH;D;13/08/07;00:00:00;1969.1400000
LKOH;D;14/08/07;00:00:00;1958.5000000
LKOH;D;15/08/07;00:00:00;1910.9400000
LKOH;D;16/08/07;00:00:00;1863.7800000
LKOH;D;17/08/07;00:00:00;1902.0000000
LKOH;D;20/08/07;00:00:00;1886.0000000
LKOH;D;21/08/07;00:00:00;1862.2200000
LKOH;D;22/08/07;00:00:00;1894.0000000
LKOH;D;23/08/07;00:00:00;1889.0000000
LKOH;D;24/08/07;00:00:00;1891.9900000
LKOH;D;27/08/07;00:00:00;1902.0000000
LKOH;D;28/08/07;00:00:00;1891.0100000
LKOH;D;29/08/07;00:00:00;1887.0000000
LKOH;D;30/08/07;00:00:00;1882.0000000
LKOH;D;31/08/07;00:00:00;1907.0000000
LKOH;D;03/09/07;00:00:00;1922.0000000
LKOH;D;04/09/07;00:00:00;1911.0000000
LKOH;D;05/09/07;00:00:00;1908.0000000
LKOH;D;06/09/07;00:00:00;1940.4500000
LKOH;D;07/09/07;00:00:00;1905.1000000
LKOH;D;10/09/07;00:00:00;1908.9000000
LKOH;D;11/09/07;00:00:00;1915.3000000
LKOH;D;12/09/07;00:00:00;1899.5000000
LKOH;D;13/09/07;00:00:00;1930.9900000
LKOH;D;14/09/07;00:00:00;1926.0000000
LKOH;D;17/09/07;00:00:00;1908.0000000
LKOH;D;18/09/07;00:00:00;1934.9900000
LKOH;D;19/09/07;00:00:00;2015.5000000
LKOH;D;20/09/07;00:00:00;2010.1100000
LKOH;D;21/09/07;00:00:00;2021.0000000
LKOH;D;24/09/07;00:00:00;2028.5000000
LKOH;D;25/09/07;00:00:00;1996.0100000
LKOH;D;26/09/07;00:00:00;2036.0000000
LKOH;D;27/09/07;00:00:00;2063.1100000
LKOH;D;28/09/07;00:00:00;2081.8000000
LKOH;D;01/10/07;00:00:00;2034.0000000
LKOH;D;02/10/07;00:00:00;2112.0000000
LKOH;D;03/10/07;00:00:00;2095.0000000
LKOH;D;04/10/07;00:00:00;2105.0300000
LKOH;D;05/10/07;00:00:00;2173.0400000
LKOH;D;08/10/07;00:00:00;2176.7000000
LKOH;D;09/10/07;00:00:00;2187.0000000
LKOH;D;10/10/07;00:00:00;2175.0000000
