<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;01/06/07;00:00:00;212.0000000
ROSN;D;04/06/07;00:00:00;208.3100000
ROSN;D;05/06/07;00:00:00;207.6100000
ROSN;D;06/06/07;00:00:00;205.8000000
ROSN;D;07/06/07;00:00:00;203.5000000
ROSN;D;08/06/07;00:00:00;203.0000000
ROSN;D;09/06/07;00:00:00;203.2500000
ROSN;D;13/06/07;00:00:00;203.9000000
ROSN;D;14/06/07;00:00:00;208.9000000
ROSN;D;15/06/07;00:00:00;209.6100000
ROSN;D;18/06/07;00:00:00;209.2500000
ROSN;D;19/06/07;00:00:00;206.2000000
ROSN;D;20/06/07;00:00:00;208.2000000
ROSN;D;21/06/07;00:00:00;205.3500000
ROSN;D;22/06/07;00:00:00;205.9900000
ROSN;D;25/06/07;00:00:00;204.0000000
ROSN;D;26/06/07;00:00:00;205.2100000
ROSN;D;27/06/07;00:00:00;203.7000000
ROSN;D;28/06/07;00:00:00;206.0200000
ROSN;D;29/06/07;00:00:00;204.7900000
ROSN;D;02/07/07;00:00:00;204.7900000
ROSN;D;03/07/07;00:00:00;205.5000000
ROSN;D;04/07/07;00:00:00;204.9900000
ROSN;D;05/07/07;00:00:00;213.2100000
ROSN;D;06/07/07;00:00:00;213.9000000
ROSN;D;09/07/07;00:00:00;215.4100000
ROSN;D;10/07/07;00:00:00;210.6500000
ROSN;D;11/07/07;00:00:00;212.8700000
ROSN;D;12/07/07;00:00:00;221.9500000
ROSN;D;13/07/07;00:00:00;221.7000000
ROSN;D;16/07/07;00:00:00;223.7100000
ROSN;D;17/07/07;00:00:00;223.6300000
ROSN;D;18/07/07;00:00:00;220.1300000
ROSN;D;19/07/07;00:00:00;224.3900000
ROSN;D;20/07/07;00:00:00;222.4200000
ROSN;D;23/07/07;00:00:00;223.9900000
ROSN;D;24/07/07;00:00:00;217.7900000
ROSN;D;25/07/07;00:00:00;218.8000000
ROSN;D;26/07/07;00:00:00;212.5000000
ROSN;D;27/07/07;00:00:00;207.8000000
ROSN;D;30/07/07;00:00:00;209.4500000
ROSN;D;31/07/07;00:00:00;213.6200000
ROSN;D;01/08/07;00:00:00;207.4000000
ROSN;D;02/08/07;00:00:00;210.4700000
ROSN;D;03/08/07;00:00:00;209.7800000
ROSN;D;06/08/07;00:00:00;207.6000000
ROSN;D;07/08/07;00:00:00;208.5000000
ROSN;D;08/08/07;00:00:00;212.2500000
ROSN;D;09/08/07;00:00:00;207.7900000
ROSN;D;10/08/07;00:00:00;205.9700000
ROSN;D;13/08/07;00:00:00;210.8900000
ROSN;D;14/08/07;00:00:00;208.9000000
ROSN;D;15/08/07;00:00:00;206.2000000
ROSN;D;16/08/07;00:00:00;202.8900000
ROSN;D;17/08/07;00:00:00;207.2000000
ROSN;D;20/08/07;00:00:00;205.8900000
ROSN;D;21/08/07;00:00:00;204.1000000
ROSN;D;22/08/07;00:00:00;207.5800000
ROSN;D;23/08/07;00:00:00;206.5500000
ROSN;D;24/08/07;00:00:00;205.5000000
ROSN;D;27/08/07;00:00:00;207.0100000
ROSN;D;28/08/07;00:00:00;206.5000000
ROSN;D;29/08/07;00:00:00;207.5000000
ROSN;D;30/08/07;00:00:00;205.7700000
ROSN;D;31/08/07;00:00:00;211.8000000
ROSN;D;03/09/07;00:00:00;210.5500000
ROSN;D;04/09/07;00:00:00;209.7500000
ROSN;D;05/09/07;00:00:00;210.0000000
ROSN;D;06/09/07;00:00:00;212.6600000
ROSN;D;07/09/07;00:00:00;208.9000000
ROSN;D;10/09/07;00:00:00;208.4900000
ROSN;D;11/09/07;00:00:00;210.0500000
ROSN;D;12/09/07;00:00:00;209.9700000
ROSN;D;13/09/07;00:00:00;212.7300000
ROSN;D;14/09/07;00:00:00;216.2000000
ROSN;D;17/09/07;00:00:00;213.5500000
ROSN;D;18/09/07;00:00:00;214.9000000
ROSN;D;19/09/07;00:00:00;220.1000000
ROSN;D;20/09/07;00:00:00;216.7900000
ROSN;D;21/09/07;00:00:00;216.9000000
ROSN;D;24/09/07;00:00:00;214.9200000
ROSN;D;25/09/07;00:00:00;210.5000000
ROSN;D;26/09/07;00:00:00;213.2000000
ROSN;D;27/09/07;00:00:00;213.7000000
ROSN;D;28/09/07;00:00:00;213.1200000
ROSN;D;01/10/07;00:00:00;210.2400000
ROSN;D;02/10/07;00:00:00;216.3000000
ROSN;D;03/10/07;00:00:00;212.2000000
ROSN;D;04/10/07;00:00:00;211.7500000
ROSN;D;05/10/07;00:00:00;213.5100000
ROSN;D;08/10/07;00:00:00;212.7900000
ROSN;D;09/10/07;00:00:00;213.5000000
ROSN;D;10/10/07;00:00:00;212.1700000
ROSN;D;11/10/07;00:00:00;214.8200000
ROSN;D;12/10/07;00:00:00;213.4000000
ROSN;D;15/10/07;00:00:00;215.9700000
ROSN;D;16/10/07;00:00:00;216.8900000
ROSN;D;17/10/07;00:00:00;221.0000000
ROSN;D;18/10/07;00:00:00;217.0000000
ROSN;D;19/10/07;00:00:00;215.7000000
ROSN;D;22/10/07;00:00:00;210.4000000
ROSN;D;23/10/07;00:00:00;211.7800000
ROSN;D;24/10/07;00:00:00;211.8000000
ROSN;D;25/10/07;00:00:00;213.9100000
ROSN;D;26/10/07;00:00:00;218.5900000
ROSN;D;29/10/07;00:00:00;219.5000000
ROSN;D;30/10/07;00:00:00;217.2300000
ROSN;D;31/10/07;00:00:00;217.0900000
ROSN;D;01/11/07;00:00:00;215.6700000
ROSN;D;02/11/07;00:00:00;215.2000000
ROSN;D;06/11/07;00:00:00;223.8600000
ROSN;D;07/11/07;00:00:00;225.0000000
ROSN;D;08/11/07;00:00:00;226.2000000
ROSN;D;09/11/07;00:00:00;221.0600000
ROSN;D;12/11/07;00:00:00;220.6000000
ROSN;D;13/11/07;00:00:00;216.5000000
ROSN;D;14/11/07;00:00:00;223.5000000
ROSN;D;15/11/07;00:00:00;220.7000000
ROSN;D;16/11/07;00:00:00;219.0000000
ROSN;D;19/11/07;00:00:00;214.7500000
ROSN;D;20/11/07;00:00:00;215.3600000
ROSN;D;21/11/07;00:00:00;211.2500000
ROSN;D;22/11/07;00:00:00;210.3300000
ROSN;D;23/11/07;00:00:00;211.6500000
ROSN;D;26/11/07;00:00:00;214.1600000
ROSN;D;27/11/07;00:00:00;210.5600000
ROSN;D;28/11/07;00:00:00;212.3000000
ROSN;D;29/11/07;00:00:00;215.9900000
ROSN;D;30/11/07;00:00:00;221.0700000
ROSN;D;03/12/07;00:00:00;218.3000000
ROSN;D;04/12/07;00:00:00;219.2500000
ROSN;D;05/12/07;00:00:00;226.8000000
ROSN;D;06/12/07;00:00:00;226.3500000
ROSN;D;07/12/07;00:00:00;230.6000000
ROSN;D;10/12/07;00:00:00;234.5000000
ROSN;D;11/12/07;00:00:00;234.0000000
ROSN;D;12/12/07;00:00:00;239.0000000
ROSN;D;13/12/07;00:00:00;235.9000000
ROSN;D;14/12/07;00:00:00;229.2000000
ROSN;D;17/12/07;00:00:00;225.6000000
ROSN;D;18/12/07;00:00:00;226.0000000
ROSN;D;19/12/07;00:00:00;224.3900000
ROSN;D;20/12/07;00:00:00;229.9800000
ROSN;D;21/12/07;00:00:00;232.2200000
ROSN;D;24/12/07;00:00:00;234.9900000
ROSN;D;25/12/07;00:00:00;231.4900000
ROSN;D;26/12/07;00:00:00;228.0200000
ROSN;D;27/12/07;00:00:00;231.3200000
ROSN;D;28/12/07;00:00:00;231.7000000
ROSN;D;09/01/08;00:00:00;227.7400000
ROSN;D;10/01/08;00:00:00;230.6000000
ROSN;D;11/01/08;00:00:00;223.3800000
ROSN;D;14/01/08;00:00:00;224.0000000
ROSN;D;15/01/08;00:00:00;221.9800000
ROSN;D;16/01/08;00:00:00;212.9900000
ROSN;D;17/01/08;00:00:00;209.2500000
ROSN;D;18/01/08;00:00:00;206.2000000
ROSN;D;21/01/08;00:00:00;194.7000000
ROSN;D;22/01/08;00:00:00;188.0100000
ROSN;D;23/01/08;00:00:00;175.6800000
ROSN;D;24/01/08;00:00:00;186.5000000
ROSN;D;25/01/08;00:00:00;189.1900000
ROSN;D;28/01/08;00:00:00;179.6500000
ROSN;D;29/01/08;00:00:00;186.0300000
ROSN;D;30/01/08;00:00:00;180.8000000
ROSN;D;31/01/08;00:00:00;172.0000000
ROSN;D;01/02/08;00:00:00;179.5000000
ROSN;D;04/02/08;00:00:00;183.5100000
ROSN;D;05/02/08;00:00:00;180.0000000
ROSN;D;06/02/08;00:00:00;176.8000000
ROSN;D;07/02/08;00:00:00;169.1900000
ROSN;D;08/02/08;00:00:00;166.3000000
ROSN;D;11/02/08;00:00:00;173.4000000
ROSN;D;12/02/08;00:00:00;180.4900000
ROSN;D;13/02/08;00:00:00;186.3000000
ROSN;D;14/02/08;00:00:00;192.1900000
ROSN;D;15/02/08;00:00:00;192.9000000
ROSN;D;18/02/08;00:00:00;199.8000000
ROSN;D;19/02/08;00:00:00;201.8600000
ROSN;D;20/02/08;00:00:00;198.1000000
ROSN;D;21/02/08;00:00:00;200.9900000
ROSN;D;22/02/08;00:00:00;201.9000000
ROSN;D;26/02/08;00:00:00;201.6200000
ROSN;D;27/02/08;00:00:00;199.8700000
ROSN;D;28/02/08;00:00:00;199.0000000
ROSN;D;29/02/08;00:00:00;196.0400000
ROSN;D;03/03/08;00:00:00;196.5000000
ROSN;D;04/03/08;00:00:00;199.6700000
ROSN;D;05/03/08;00:00:00;201.9600000
ROSN;D;06/03/08;00:00:00;199.9800000
ROSN;D;07/03/08;00:00:00;196.0700000
ROSN;D;11/03/08;00:00:00;202.2000000
ROSN;D;12/03/08;00:00:00;204.1400000
ROSN;D;13/03/08;00:00:00;200.5500000
ROSN;D;14/03/08;00:00:00;201.4900000
ROSN;D;17/03/08;00:00:00;195.0000000
ROSN;D;18/03/08;00:00:00;195.4500000
ROSN;D;19/03/08;00:00:00;193.8100000
ROSN;D;20/03/08;00:00:00;187.9900000
ROSN;D;21/03/08;00:00:00;193.0100000
ROSN;D;24/03/08;00:00:00;199.8000000
ROSN;D;25/03/08;00:00:00;193.9100000
ROSN;D;26/03/08;00:00:00;198.2000000
ROSN;D;27/03/08;00:00:00;206.4600000
ROSN;D;28/03/08;00:00:00;212.9000000
ROSN;D;31/03/08;00:00:00;211.2100000
ROSN;D;01/04/08;00:00:00;212.9000000
