<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
RTKM;D;01/06/07;00:00:00;229.0000000
RTKM;D;04/06/07;00:00:00;227.2000000
RTKM;D;05/06/07;00:00:00;228.7900000
RTKM;D;06/06/07;00:00:00;230.8400000
RTKM;D;07/06/07;00:00:00;230.0000000
RTKM;D;08/06/07;00:00:00;229.2000000
RTKM;D;09/06/07;00:00:00;229.7400000
RTKM;D;13/06/07;00:00:00;235.7600000
RTKM;D;14/06/07;00:00:00;238.2400000
RTKM;D;15/06/07;00:00:00;241.5000000
RTKM;D;18/06/07;00:00:00;245.7500000
RTKM;D;19/06/07;00:00:00;246.0500000
RTKM;D;20/06/07;00:00:00;247.8000000
RTKM;D;21/06/07;00:00:00;243.3000000
RTKM;D;22/06/07;00:00:00;247.3600000
RTKM;D;25/06/07;00:00:00;244.9900000
RTKM;D;26/06/07;00:00:00;245.8000000
RTKM;D;27/06/07;00:00:00;245.0100000
RTKM;D;28/06/07;00:00:00;245.5800000
RTKM;D;29/06/07;00:00:00;244.5700000
RTKM;D;02/07/07;00:00:00;247.9000000
RTKM;D;03/07/07;00:00:00;248.3000000
RTKM;D;04/07/07;00:00:00;249.3000000
RTKM;D;05/07/07;00:00:00;248.9900000
RTKM;D;06/07/07;00:00:00;247.9900000
RTKM;D;09/07/07;00:00:00;249.5000000
RTKM;D;10/07/07;00:00:00;246.5000000
RTKM;D;11/07/07;00:00:00;247.7100000
RTKM;D;12/07/07;00:00:00;250.0000000
RTKM;D;13/07/07;00:00:00;253.6000000
RTKM;D;16/07/07;00:00:00;251.1900000
RTKM;D;17/07/07;00:00:00;251.6000000
RTKM;D;18/07/07;00:00:00;249.3500000
RTKM;D;19/07/07;00:00:00;252.8000000
RTKM;D;20/07/07;00:00:00;244.6000000
RTKM;D;23/07/07;00:00:00;246.4700000
RTKM;D;24/07/07;00:00:00;243.6500000
RTKM;D;25/07/07;00:00:00;246.0100000
RTKM;D;26/07/07;00:00:00;242.2200000
RTKM;D;27/07/07;00:00:00;241.2700000
RTKM;D;30/07/07;00:00:00;240.7700000
RTKM;D;31/07/07;00:00:00;242.9500000
RTKM;D;01/08/07;00:00:00;242.6000000
RTKM;D;02/08/07;00:00:00;243.9900000
RTKM;D;03/08/07;00:00:00;244.1500000
RTKM;D;06/08/07;00:00:00;243.2500000
RTKM;D;07/08/07;00:00:00;243.6500000
RTKM;D;08/08/07;00:00:00;248.9500000
RTKM;D;09/08/07;00:00:00;242.5000000
RTKM;D;10/08/07;00:00:00;244.0300000
RTKM;D;13/08/07;00:00:00;247.4900000
RTKM;D;14/08/07;00:00:00;247.4000000
RTKM;D;15/08/07;00:00:00;243.3200000
RTKM;D;16/08/07;00:00:00;240.1000000
RTKM;D;17/08/07;00:00:00;250.3000000
RTKM;D;20/08/07;00:00:00;249.0100000
RTKM;D;21/08/07;00:00:00;249.3000000
RTKM;D;22/08/07;00:00:00;249.0500000
RTKM;D;23/08/07;00:00:00;249.8500000
RTKM;D;24/08/07;00:00:00;251.7000000
RTKM;D;27/08/07;00:00:00;252.7000000
RTKM;D;28/08/07;00:00:00;253.2100000
RTKM;D;29/08/07;00:00:00;252.0000000
RTKM;D;30/08/07;00:00:00;252.5000000
RTKM;D;31/08/07;00:00:00;253.0500000
RTKM;D;03/09/07;00:00:00;251.8800000
RTKM;D;04/09/07;00:00:00;253.4900000
RTKM;D;05/09/07;00:00:00;254.8800000
RTKM;D;06/09/07;00:00:00;254.9600000
RTKM;D;07/09/07;00:00:00;254.4000000
RTKM;D;10/09/07;00:00:00;254.2100000
RTKM;D;11/09/07;00:00:00;253.0200000
RTKM;D;12/09/07;00:00:00;252.0600000
RTKM;D;13/09/07;00:00:00;257.2000000
RTKM;D;14/09/07;00:00:00;255.0000000
RTKM;D;17/09/07;00:00:00;258.0000000
RTKM;D;18/09/07;00:00:00;257.0000000
RTKM;D;19/09/07;00:00:00;258.6000000
RTKM;D;20/09/07;00:00:00;259.0000000
RTKM;D;21/09/07;00:00:00;259.7800000
RTKM;D;24/09/07;00:00:00;258.8100000
RTKM;D;25/09/07;00:00:00;259.8500000
RTKM;D;26/09/07;00:00:00;262.0000000
