<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;01/06/07;00:00:00;95100.0000000
SBER;D;04/06/07;00:00:00;96400.0200000
SBER;D;05/06/07;00:00:00;97402.0000000
SBER;D;06/06/07;00:00:00;96401.0200000
SBER;D;07/06/07;00:00:00;95992.0000000
SBER;D;08/06/07;00:00:00;94000.0000000
SBER;D;09/06/07;00:00:00;94635.0000000
SBER;D;13/06/07;00:00:00;95662.0000000
SBER;D;14/06/07;00:00:00;99200.0000000
SBER;D;15/06/07;00:00:00;98800.0000000
SBER;D;18/06/07;00:00:00;99150.0000000
SBER;D;19/06/07;00:00:00;98668.8500000
SBER;D;20/06/07;00:00:00;100850.0000000
SBER;D;21/06/07;00:00:00;99300.0000000
SBER;D;22/06/07;00:00:00;99500.0000000
SBER;D;25/06/07;00:00:00;99780.0000000
SBER;D;26/06/07;00:00:00;100000.0000000
SBER;D;27/06/07;00:00:00;98968.0000000
SBER;D;28/06/07;00:00:00;100099.0000000
SBER;D;29/06/07;00:00:00;100019.8800000
SBER;D;02/07/07;00:00:00;100400.0000000
SBER;D;03/07/07;00:00:00;100397.9600000
SBER;D;04/07/07;00:00:00;100401.0000000
SBER;D;05/07/07;00:00:00;101250.0000000
SBER;D;06/07/07;00:00:00;101398.8700000
SBER;D;09/07/07;00:00:00;103000.0000000
SBER;D;10/07/07;00:00:00;103199.0000000
SBER;D;11/07/07;00:00:00;104149.9500000
SBER;D;12/07/07;00:00:00;106700.0000000
SBER;D;13/07/07;00:00:00;106600.0000000
SBER;D;16/07/07;00:00:00;106800.0000000
SBER;D;17/07/07;00:00:00;107000.0000000
SBER;D;20/07/07;00:00:00;109.2000000
SBER;D;23/07/07;00:00:00;112.0000000
SBER;D;24/07/07;00:00:00;109.5300000
SBER;D;25/07/07;00:00:00;109.6300000
SBER;D;26/07/07;00:00:00;104.1800000
SBER;D;27/07/07;00:00:00;102.4100000
SBER;D;30/07/07;00:00:00;102.0000000
SBER;D;31/07/07;00:00:00;105.5000000
SBER;D;01/08/07;00:00:00;101.5900000
SBER;D;02/08/07;00:00:00;102.3000000
SBER;D;03/08/07;00:00:00;102.2800000
SBER;D;06/08/07;00:00:00;100.5400000
SBER;D;07/08/07;00:00:00;100.6500000
SBER;D;08/08/07;00:00:00;102.8000000
SBER;D;09/08/07;00:00:00;99.5700000
SBER;D;10/08/07;00:00:00;95.5500000
SBER;D;13/08/07;00:00:00;97.3900000
SBER;D;14/08/07;00:00:00;96.8500000
SBER;D;15/08/07;00:00:00;94.5000000
SBER;D;16/08/07;00:00:00;90.5100000
SBER;D;17/08/07;00:00:00;94.8000000
SBER;D;20/08/07;00:00:00;93.1900000
SBER;D;21/08/07;00:00:00;91.4000000
SBER;D;22/08/07;00:00:00;93.6000000
SBER;D;23/08/07;00:00:00;94.2700000
SBER;D;24/08/07;00:00:00;93.8100000
SBER;D;27/08/07;00:00:00;95.1100000
SBER;D;28/08/07;00:00:00;94.4000000
SBER;D;29/08/07;00:00:00;93.9400000
SBER;D;30/08/07;00:00:00;94.3000000
SBER;D;31/08/07;00:00:00;97.3900000
SBER;D;03/09/07;00:00:00;98.0000000
SBER;D;04/09/07;00:00:00;97.2000000
SBER;D;05/09/07;00:00:00;95.0000000
SBER;D;06/09/07;00:00:00;96.5100000
SBER;D;07/09/07;00:00:00;94.2000000
SBER;D;10/09/07;00:00:00;94.0900000
SBER;D;11/09/07;00:00:00;94.9200000
SBER;D;12/09/07;00:00:00;94.2000000
SBER;D;13/09/07;00:00:00;96.3300000
SBER;D;14/09/07;00:00:00;96.1000000
SBER;D;17/09/07;00:00:00;94.8700000
SBER;D;18/09/07;00:00:00;97.4000000
SBER;D;19/09/07;00:00:00;103.7700000
SBER;D;20/09/07;00:00:00;102.3000000
SBER;D;21/09/07;00:00:00;101.8300000
SBER;D;24/09/07;00:00:00;101.8500000
SBER;D;25/09/07;00:00:00;98.5800000
SBER;D;26/09/07;00:00:00;100.8900000
SBER;D;27/09/07;00:00:00;102.1500000
SBER;D;28/09/07;00:00:00;103.5000000
SBER;D;01/10/07;00:00:00;100.9800000
SBER;D;02/10/07;00:00:00;104.8900000
SBER;D;03/10/07;00:00:00;103.3100000
SBER;D;04/10/07;00:00:00;100.6500000
SBER;D;05/10/07;00:00:00;102.3000000
SBER;D;08/10/07;00:00:00;103.8200000
SBER;D;09/10/07;00:00:00;105.7000000
SBER;D;10/10/07;00:00:00;105.7300000
SBER;D;11/10/07;00:00:00;107.8000000
SBER;D;12/10/07;00:00:00;108.5000000
SBER;D;15/10/07;00:00:00;109.9000000
SBER;D;16/10/07;00:00:00;109.2000000
SBER;D;17/10/07;00:00:00;108.4400000
SBER;D;18/10/07;00:00:00;106.7500000
SBER;D;19/10/07;00:00:00;107.4100000
SBER;D;22/10/07;00:00:00;105.5000000
SBER;D;23/10/07;00:00:00;106.6600000
SBER;D;24/10/07;00:00:00;105.6000000
SBER;D;25/10/07;00:00:00;106.9000000
SBER;D;26/10/07;00:00:00;107.7500000
SBER;D;29/10/07;00:00:00;106.4500000
SBER;D;30/10/07;00:00:00;104.3000000
SBER;D;31/10/07;00:00:00;106.4800000
SBER;D;01/11/07;00:00:00;106.2800000
SBER;D;02/11/07;00:00:00;105.9900000
SBER;D;06/11/07;00:00:00;106.7000000
SBER;D;07/11/07;00:00:00;106.5800000
SBER;D;08/11/07;00:00:00;106.9000000
SBER;D;09/11/07;00:00:00;105.2500000
SBER;D;12/11/07;00:00:00;106.0000000
SBER;D;13/11/07;00:00:00;105.1500000
SBER;D;14/11/07;00:00:00;105.4100000
SBER;D;15/11/07;00:00:00;105.1100000
SBER;D;16/11/07;00:00:00;103.6000000
SBER;D;19/11/07;00:00:00;102.2500000
SBER;D;20/11/07;00:00:00;101.5500000
SBER;D;21/11/07;00:00:00;99.3000000
SBER;D;22/11/07;00:00:00;97.3600000
SBER;D;23/11/07;00:00:00;99.2600000
SBER;D;26/11/07;00:00:00;101.4900000
SBER;D;27/11/07;00:00:00;100.1500000
SBER;D;28/11/07;00:00:00;101.1400000
SBER;D;29/11/07;00:00:00;102.3500000
SBER;D;30/11/07;00:00:00;103.7400000
SBER;D;03/12/07;00:00:00;103.8000000
SBER;D;04/12/07;00:00:00;102.9800000
SBER;D;05/12/07;00:00:00;104.2800000
SBER;D;06/12/07;00:00:00;103.9900000
SBER;D;07/12/07;00:00:00;104.8000000
SBER;D;10/12/07;00:00:00;106.9900000
SBER;D;11/12/07;00:00:00;108.2000000
SBER;D;12/12/07;00:00:00;108.4500000
SBER;D;13/12/07;00:00:00;106.0000000
SBER;D;14/12/07;00:00:00;104.7000000
SBER;D;17/12/07;00:00:00;103.5800000
SBER;D;18/12/07;00:00:00;105.4400000
SBER;D;19/12/07;00:00:00;105.5200000
SBER;D;20/12/07;00:00:00;105.9700000
SBER;D;21/12/07;00:00:00;105.6900000
SBER;D;24/12/07;00:00:00;105.3700000
SBER;D;25/12/07;00:00:00;103.7000000
SBER;D;26/12/07;00:00:00;103.6200000
SBER;D;27/12/07;00:00:00;103.8000000
SBER;D;28/12/07;00:00:00;102.0000000
SBER;D;09/01/08;00:00:00;101.8500000
SBER;D;10/01/08;00:00:00;103.5300000
SBER;D;11/01/08;00:00:00;104.7000000
SBER;D;14/01/08;00:00:00;105.0000000
SBER;D;15/01/08;00:00:00;105.7100000
SBER;D;16/01/08;00:00:00;101.8000000
SBER;D;17/01/08;00:00:00;101.0000000
SBER;D;18/01/08;00:00:00;98.8000000
SBER;D;21/01/08;00:00:00;91.2500000
SBER;D;22/01/08;00:00:00;93.0000000
SBER;D;23/01/08;00:00:00;90.5000000
SBER;D;24/01/08;00:00:00;96.5000000
SBER;D;25/01/08;00:00:00;94.3000000
SBER;D;28/01/08;00:00:00;89.5300000
SBER;D;29/01/08;00:00:00;94.2100000
SBER;D;30/01/08;00:00:00;91.9900000
SBER;D;31/01/08;00:00:00;87.8900000
SBER;D;01/02/08;00:00:00;90.2000000
SBER;D;04/02/08;00:00:00;90.8000000
SBER;D;05/02/08;00:00:00;87.2000000
SBER;D;06/02/08;00:00:00;88.2000000
SBER;D;07/02/08;00:00:00;84.8900000
SBER;D;08/02/08;00:00:00;83.8900000
SBER;D;11/02/08;00:00:00;83.2000000
SBER;D;12/02/08;00:00:00;85.3900000
SBER;D;13/02/08;00:00:00;85.4500000
SBER;D;14/02/08;00:00:00;85.4600000
SBER;D;15/02/08;00:00:00;83.4000000
SBER;D;18/02/08;00:00:00;84.8400000
SBER;D;19/02/08;00:00:00;85.0000000
SBER;D;20/02/08;00:00:00;83.0900000
SBER;D;21/02/08;00:00:00;83.7500000
SBER;D;22/02/08;00:00:00;82.9900000
SBER;D;26/02/08;00:00:00;85.1000000
SBER;D;27/02/08;00:00:00;83.7800000
SBER;D;28/02/08;00:00:00;82.9500000
SBER;D;29/02/08;00:00:00;80.2000000
SBER;D;03/03/08;00:00:00;78.7000000
SBER;D;04/03/08;00:00:00;76.5000000
SBER;D;05/03/08;00:00:00;78.3200000
SBER;D;06/03/08;00:00:00;77.1000000
SBER;D;07/03/08;00:00:00;74.8600000
SBER;D;11/03/08;00:00:00;78.6000000
SBER;D;12/03/08;00:00:00;78.5000000
SBER;D;13/03/08;00:00:00;75.9000000
SBER;D;14/03/08;00:00:00;76.7700000
SBER;D;17/03/08;00:00:00;72.8100000
SBER;D;18/03/08;00:00:00;74.5800000
SBER;D;19/03/08;00:00:00;74.5000000
SBER;D;20/03/08;00:00:00;73.7500000
SBER;D;21/03/08;00:00:00;74.4600000
SBER;D;24/03/08;00:00:00;77.6800000
SBER;D;25/03/08;00:00:00;75.0000000
SBER;D;26/03/08;00:00:00;72.9800000
SBER;D;27/03/08;00:00:00;72.9500000
SBER;D;28/03/08;00:00:00;73.7500000
SBER;D;31/03/08;00:00:00;73.4800000
SBER;D;01/04/08;00:00:00;75.1000000
SBER;D;02/04/08;00:00:00;78.7500000
SBER;D;03/04/08;00:00:00;76.7200000
SBER;D;04/04/08;00:00:00;77.3500000
SBER;D;07/04/08;00:00:00;79.1400000
SBER;D;08/04/08;00:00:00;77.5000000
SBER;D;09/04/08;00:00:00;78.5500000
SBER;D;10/04/08;00:00:00;77.3000000
SBER;D;11/04/08;00:00:00;74.4000000
SBER;D;14/04/08;00:00:00;73.9600000
SBER;D;15/04/08;00:00:00;73.6500000
SBER;D;16/04/08;00:00:00;75.0000000
SBER;D;17/04/08;00:00:00;73.5900000
SBER;D;18/04/08;00:00:00;76.5600000
SBER;D;21/04/08;00:00:00;75.1300000
SBER;D;22/04/08;00:00:00;74.8600000
