<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SIBN;D;01/06/07;00:00:00;97.4000000
SIBN;D;04/06/07;00:00:00;97.1700000
SIBN;D;05/06/07;00:00:00;101.9900000
SIBN;D;06/06/07;00:00:00;103.1900000
SIBN;D;07/06/07;00:00:00;102.6300000
SIBN;D;08/06/07;00:00:00;102.2500000
SIBN;D;09/06/07;00:00:00;102.5500000
SIBN;D;13/06/07;00:00:00;102.7200000
SIBN;D;14/06/07;00:00:00;104.2300000
SIBN;D;15/06/07;00:00:00;103.7800000
SIBN;D;18/06/07;00:00:00;104.5000000
SIBN;D;19/06/07;00:00:00;103.6400000
SIBN;D;20/06/07;00:00:00;104.6000000
SIBN;D;21/06/07;00:00:00;104.1000000
SIBN;D;22/06/07;00:00:00;106.4500000
SIBN;D;25/06/07;00:00:00;105.4000000
SIBN;D;26/06/07;00:00:00;105.3700000
SIBN;D;27/06/07;00:00:00;103.3300000
SIBN;D;28/06/07;00:00:00;103.7600000
SIBN;D;29/06/07;00:00:00;104.2800000
SIBN;D;02/07/07;00:00:00;105.0000000
SIBN;D;03/07/07;00:00:00;106.7800000
SIBN;D;04/07/07;00:00:00;106.6000000
SIBN;D;05/07/07;00:00:00;106.9000000
SIBN;D;06/07/07;00:00:00;106.8900000
SIBN;D;09/07/07;00:00:00;107.2000000
SIBN;D;10/07/07;00:00:00;105.4000000
SIBN;D;11/07/07;00:00:00;105.9600000
SIBN;D;12/07/07;00:00:00;107.1900000
SIBN;D;13/07/07;00:00:00;108.8000000
SIBN;D;16/07/07;00:00:00;108.0700000
SIBN;D;17/07/07;00:00:00;108.0900000
SIBN;D;18/07/07;00:00:00;108.2100000
SIBN;D;19/07/07;00:00:00;109.8400000
SIBN;D;20/07/07;00:00:00;109.6000000
SIBN;D;23/07/07;00:00:00;110.2000000
SIBN;D;24/07/07;00:00:00;108.1200000
SIBN;D;25/07/07;00:00:00;108.3000000
SIBN;D;26/07/07;00:00:00;107.0300000
SIBN;D;27/07/07;00:00:00;105.3200000
SIBN;D;30/07/07;00:00:00;105.9000000
SIBN;D;31/07/07;00:00:00;106.6000000
SIBN;D;01/08/07;00:00:00;104.0800000
SIBN;D;02/08/07;00:00:00;105.1600000
SIBN;D;03/08/07;00:00:00;105.1000000
SIBN;D;06/08/07;00:00:00;102.9900000
SIBN;D;07/08/07;00:00:00;103.7000000
SIBN;D;08/08/07;00:00:00;104.9100000
SIBN;D;09/08/07;00:00:00;102.1200000
SIBN;D;10/08/07;00:00:00;99.3600000
SIBN;D;13/08/07;00:00:00;100.4800000
SIBN;D;14/08/07;00:00:00;99.0000000
SIBN;D;15/08/07;00:00:00;97.4000000
SIBN;D;16/08/07;00:00:00;93.5500000
SIBN;D;17/08/07;00:00:00;94.7900000
SIBN;D;20/08/07;00:00:00;94.5800000
SIBN;D;21/08/07;00:00:00;93.5900000
SIBN;D;22/08/07;00:00:00;94.4900000
SIBN;D;23/08/07;00:00:00;93.1500000
SIBN;D;24/08/07;00:00:00;93.8000000
SIBN;D;27/08/07;00:00:00;94.0000000
SIBN;D;28/08/07;00:00:00;94.4400000
SIBN;D;29/08/07;00:00:00;94.7500000
SIBN;D;30/08/07;00:00:00;94.2200000
SIBN;D;31/08/07;00:00:00;96.9600000
SIBN;D;03/09/07;00:00:00;96.8000000
SIBN;D;04/09/07;00:00:00;96.4000000
SIBN;D;05/09/07;00:00:00;95.6500000
SIBN;D;06/09/07;00:00:00;96.4900000
SIBN;D;07/09/07;00:00:00;94.4000000
SIBN;D;10/09/07;00:00:00;94.0800000
SIBN;D;11/09/07;00:00:00;94.9000000
SIBN;D;12/09/07;00:00:00;94.9000000
SIBN;D;13/09/07;00:00:00;96.4500000
SIBN;D;14/09/07;00:00:00;96.9000000
SIBN;D;17/09/07;00:00:00;96.0600000
SIBN;D;18/09/07;00:00:00;98.0900000
SIBN;D;19/09/07;00:00:00;101.0000000
SIBN;D;20/09/07;00:00:00;99.9200000
SIBN;D;21/09/07;00:00:00;101.9800000
SIBN;D;24/09/07;00:00:00;102.8000000
SIBN;D;25/09/07;00:00:00;101.5000000
SIBN;D;26/09/07;00:00:00;103.3500000
SIBN;D;27/09/07;00:00:00;103.9200000
SIBN;D;28/09/07;00:00:00;104.3000000
SIBN;D;01/10/07;00:00:00;103.1000000
SIBN;D;02/10/07;00:00:00;106.9400000
SIBN;D;03/10/07;00:00:00;104.9700000
SIBN;D;04/10/07;00:00:00;103.5400000
SIBN;D;05/10/07;00:00:00;104.4100000
SIBN;D;08/10/07;00:00:00;104.2500000
SIBN;D;09/10/07;00:00:00;112.4000000
SIBN;D;10/10/07;00:00:00;113.1900000
SIBN;D;11/10/07;00:00:00;114.6000000
SIBN;D;12/10/07;00:00:00;116.0800000
SIBN;D;15/10/07;00:00:00;116.2000000
SIBN;D;16/10/07;00:00:00;114.2200000
SIBN;D;17/10/07;00:00:00;116.5000000
SIBN;D;18/10/07;00:00:00;114.9700000
SIBN;D;19/10/07;00:00:00;114.9700000
SIBN;D;22/10/07;00:00:00;113.2000000
SIBN;D;23/10/07;00:00:00;115.5200000
SIBN;D;24/10/07;00:00:00;114.9400000
SIBN;D;25/10/07;00:00:00;116.9400000
SIBN;D;26/10/07;00:00:00;118.6700000
SIBN;D;29/10/07;00:00:00;119.1000000
SIBN;D;30/10/07;00:00:00;119.4000000
SIBN;D;31/10/07;00:00:00;119.8700000
SIBN;D;01/11/07;00:00:00;119.7900000
SIBN;D;02/11/07;00:00:00;123.0000000
