<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SNGS;D;01/06/07;00:00:00;29.1800000
SNGS;D;04/06/07;00:00:00;28.8120000
SNGS;D;05/06/07;00:00:00;28.9290000
SNGS;D;06/06/07;00:00:00;28.7000000
SNGS;D;07/06/07;00:00:00;28.2590000
SNGS;D;08/06/07;00:00:00;28.2510000
SNGS;D;09/06/07;00:00:00;28.0920000
SNGS;D;13/06/07;00:00:00;28.6500000
SNGS;D;14/06/07;00:00:00;29.4500000
SNGS;D;15/06/07;00:00:00;29.1800000
SNGS;D;18/06/07;00:00:00;29.6220000
SNGS;D;19/06/07;00:00:00;29.3900000
SNGS;D;20/06/07;00:00:00;30.1000000
SNGS;D;21/06/07;00:00:00;29.2200000
SNGS;D;22/06/07;00:00:00;29.2000000
SNGS;D;25/06/07;00:00:00;28.6390000
SNGS;D;26/06/07;00:00:00;28.5500000
SNGS;D;27/06/07;00:00:00;27.9870000
SNGS;D;28/06/07;00:00:00;28.1050000
SNGS;D;29/06/07;00:00:00;27.9000000
SNGS;D;02/07/07;00:00:00;28.8480000
SNGS;D;03/07/07;00:00:00;29.2010000
SNGS;D;04/07/07;00:00:00;29.2500000
SNGS;D;05/07/07;00:00:00;30.4190000
SNGS;D;06/07/07;00:00:00;30.6140000
SNGS;D;09/07/07;00:00:00;30.6350000
SNGS;D;10/07/07;00:00:00;29.7990000
SNGS;D;11/07/07;00:00:00;30.1850000
SNGS;D;12/07/07;00:00:00;31.1700000
SNGS;D;13/07/07;00:00:00;31.0610000
SNGS;D;16/07/07;00:00:00;31.0980000
SNGS;D;17/07/07;00:00:00;30.8890000
SNGS;D;18/07/07;00:00:00;30.1600000
SNGS;D;19/07/07;00:00:00;30.9000000
SNGS;D;20/07/07;00:00:00;30.3550000
SNGS;D;23/07/07;00:00:00;30.3000000
SNGS;D;24/07/07;00:00:00;29.6700000
SNGS;D;25/07/07;00:00:00;30.4130000
SNGS;D;26/07/07;00:00:00;29.0140000
SNGS;D;27/07/07;00:00:00;28.9960000
SNGS;D;30/07/07;00:00:00;29.0500000
SNGS;D;31/07/07;00:00:00;29.2400000
SNGS;D;01/08/07;00:00:00;28.5010000
SNGS;D;02/08/07;00:00:00;28.8500000
SNGS;D;03/08/07;00:00:00;28.5700000
SNGS;D;06/08/07;00:00:00;28.3490000
SNGS;D;07/08/07;00:00:00;28.4500000
SNGS;D;08/08/07;00:00:00;29.3800000
SNGS;D;09/08/07;00:00:00;28.6020000
SNGS;D;10/08/07;00:00:00;29.1500000
SNGS;D;13/08/07;00:00:00;30.4430000
SNGS;D;14/08/07;00:00:00;30.9880000
SNGS;D;15/08/07;00:00:00;30.1300000
SNGS;D;16/08/07;00:00:00;29.4970000
SNGS;D;17/08/07;00:00:00;30.8200000
SNGS;D;20/08/07;00:00:00;30.3300000
SNGS;D;21/08/07;00:00:00;29.6330000
SNGS;D;22/08/07;00:00:00;30.2890000
SNGS;D;23/08/07;00:00:00;29.8400000
SNGS;D;24/08/07;00:00:00;30.5500000
SNGS;D;27/08/07;00:00:00;32.6180000
SNGS;D;28/08/07;00:00:00;31.7990000
SNGS;D;29/08/07;00:00:00;31.2400000
SNGS;D;30/08/07;00:00:00;31.3700000
SNGS;D;31/08/07;00:00:00;32.1600000
SNGS;D;03/09/07;00:00:00;32.1200000
SNGS;D;04/09/07;00:00:00;31.7400000
SNGS;D;05/09/07;00:00:00;31.8000000
SNGS;D;06/09/07;00:00:00;31.9000000
SNGS;D;07/09/07;00:00:00;31.0770000
SNGS;D;10/09/07;00:00:00;31.4000000
SNGS;D;11/09/07;00:00:00;31.6000000
SNGS;D;12/09/07;00:00:00;31.3500000
SNGS;D;13/09/07;00:00:00;31.7700000
SNGS;D;14/09/07;00:00:00;31.5500000
SNGS;D;17/09/07;00:00:00;31.4000000
SNGS;D;18/09/07;00:00:00;31.5390000
SNGS;D;19/09/07;00:00:00;32.3090000
SNGS;D;20/09/07;00:00:00;32.2000000
SNGS;D;21/09/07;00:00:00;32.4990000
SNGS;D;24/09/07;00:00:00;33.2390000
SNGS;D;25/09/07;00:00:00;32.9420000
SNGS;D;26/09/07;00:00:00;33.8970000
SNGS;D;27/09/07;00:00:00;34.1500000
SNGS;D;28/09/07;00:00:00;33.9000000
SNGS;D;01/10/07;00:00:00;33.5990000
SNGS;D;02/10/07;00:00:00;34.1410000
SNGS;D;03/10/07;00:00:00;33.8700000
SNGS;D;04/10/07;00:00:00;33.7100000
SNGS;D;05/10/07;00:00:00;33.7000000
SNGS;D;08/10/07;00:00:00;33.4300000
SNGS;D;09/10/07;00:00:00;33.3440000
SNGS;D;10/10/07;00:00:00;32.9700000
SNGS;D;11/10/07;00:00:00;32.9630000
SNGS;D;12/10/07;00:00:00;32.6400000
