<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
VTBR;D;01/06/07;00:00:00;0.1452000
VTBR;D;04/06/07;00:00:00;0.1429000
VTBR;D;05/06/07;00:00:00;0.1428000
VTBR;D;06/06/07;00:00:00;0.1420000
VTBR;D;07/06/07;00:00:00;0.1410000
VTBR;D;08/06/07;00:00:00;0.1429000
VTBR;D;09/06/07;00:00:00;0.1426000
VTBR;D;13/06/07;00:00:00;0.1432000
VTBR;D;14/06/07;00:00:00;0.1466000
VTBR;D;15/06/07;00:00:00;0.1445000
VTBR;D;18/06/07;00:00:00;0.1446000
VTBR;D;19/06/07;00:00:00;0.1436000
VTBR;D;20/06/07;00:00:00;0.1452000
VTBR;D;21/06/07;00:00:00;0.1438000
VTBR;D;22/06/07;00:00:00;0.1431000
VTBR;D;25/06/07;00:00:00;0.1420000
VTBR;D;26/06/07;00:00:00;0.1421000
VTBR;D;27/06/07;00:00:00;0.1409000
VTBR;D;28/06/07;00:00:00;0.1413000
VTBR;D;29/06/07;00:00:00;0.1409000
VTBR;D;02/07/07;00:00:00;0.1400000
VTBR;D;03/07/07;00:00:00;0.1404000
VTBR;D;04/07/07;00:00:00;0.1398000
VTBR;D;05/07/07;00:00:00;0.1401000
VTBR;D;06/07/07;00:00:00;0.1402000
VTBR;D;09/07/07;00:00:00;0.1412000
VTBR;D;10/07/07;00:00:00;0.1400000
VTBR;D;11/07/07;00:00:00;0.1396000
VTBR;D;12/07/07;00:00:00;0.1410000
VTBR;D;13/07/07;00:00:00;0.1407000
VTBR;D;16/07/07;00:00:00;0.1404000
VTBR;D;17/07/07;00:00:00;0.1398000
VTBR;D;18/07/07;00:00:00;0.1386000
VTBR;D;19/07/07;00:00:00;0.1400000
VTBR;D;20/07/07;00:00:00;0.1396000
VTBR;D;23/07/07;00:00:00;0.1403000
VTBR;D;24/07/07;00:00:00;0.1406000
VTBR;D;25/07/07;00:00:00;0.1404000
VTBR;D;26/07/07;00:00:00;0.1375000
VTBR;D;27/07/07;00:00:00;0.1364000
VTBR;D;30/07/07;00:00:00;0.1352000
VTBR;D;31/07/07;00:00:00;0.1367000
VTBR;D;01/08/07;00:00:00;0.1361000
