Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -2.5066002230402793, денежный выигрыш: -2.5066002230402793, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.1488489918590723, денежный выигрыш: -5.655449214899352, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -3.255032848738343, денежный выигрыш: -8.910482063637694, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -6.519865238215134, денежный выигрыш: -15.430347301852828, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -7.921711689831058, денежный выигрыш: -23.352058991683887, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -6.736096948068025, денежный выигрыш: -30.08815593975191, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 3.0005800653276267, денежный выигрыш: -27.087575874424285, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 0.39358296227330364, денежный выигрыш: -26.693992912150982, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.17995280831539104, денежный выигрыш: -26.51404010383559, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.18015535282369774, денежный выигрыш: -26.333884751011894, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.18015272005487148, денежный выигрыш: -26.153732030957023, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.18036248911643715, денежный выигрыш: -25.973369541840587, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 25.345020649245996, денежный выигрыш: -0.628348892594591, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 17.08976398934863, денежный выигрыш: 16.46141509675404, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -2.3355909009828766, денежный выигрыш: 14.125824195771163, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -2.330774509167052, денежный выигрыш: 11.795049686604111, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -2.3295638828417853, денежный выигрыш: 9.465485803762325, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -3.615228520010027, денежный выигрыш: 5.850257283752298, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 32.27424756984469, денежный выигрыш: 38.12450485359699, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -15.481203118839359, денежный выигрыш: 22.643301734757628, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -10.222277445267089, денежный выигрыш: 12.42102428949054, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -7.075421569022432, денежный выигрыш: 5.345602720468107, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -7.075675544998265, денежный выигрыш: -1.7300728245301578, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -7.073474904594373, денежный выигрыш: -8.803547729124531, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 18.581617858634534, денежный выигрыш: 9.778070129510002, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -16.21924311829392, денежный выигрыш: -6.441172988783919, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.7743603226974591, денежный выигрыш: -4.666812666086459, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): -12.322601324433482, денежный выигрыш: -16.989413990519942, eta: 0.001, большая delta: 0
