Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.31325530943266633, денежный выигрыш: -0.31325530943266633, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.31547917382211743, денежный выигрыш: -0.6287344832547838, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.29230677790722787, денежный выигрыш: -0.9210412611620116, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.7499591468555505, денежный выигрыш: -0.17108211430646103, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -0.8152959414457474, денежный выигрыш: -0.9863780557522084, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -1.6739488444578166, денежный выигрыш: -2.660326900210025, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): -0.22177386501155855, денежный выигрыш: -2.8821007652215838, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 1.2691627063392015, денежный выигрыш: -1.6129380588823823, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.9082342577776686, денежный выигрыш: -0.7047038011047136, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.9156525234927518, денежный выигрыш: 0.2109487223880382, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.9222092213992678, денежный выигрыш: 1.1331579437873058, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.9279810956735451, денежный выигрыш: 2.061139039460851, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 7.187744079408654, денежный выигрыш: 9.248883118869506, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 4.724706247737258, денежный выигрыш: 13.973589366606763, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.3206878370403722, денежный выигрыш: 14.294277203647136, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.31057448191785864, денежный выигрыш: 14.604851685564995, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): 0.3019364513838779, денежный выигрыш: 14.906788136948872, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -0.28582440529765935, денежный выигрыш: 14.620963731651212, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 2.7756621798789736, денежный выигрыш: 17.396625911530187, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -4.95555390326145, денежный выигрыш: 12.441072008268737, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.5058911698531188, денежный выигрыш: 13.946963178121855, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -1.225436133257804, денежный выигрыш: 12.72152704486405, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -1.226581612400455, денежный выигрыш: 11.494945432463595, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -1.2266997937192639, денежный выигрыш: 10.26824563874433, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 2.7762000940656084, денежный выигрыш: 13.044445732809939, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -1.3718408025552487, денежный выигрыш: 11.672604930254689, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 2.972175266671892, денежный выигрыш: 14.64478019692658, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 1.8305203828330459, денежный выигрыш: 16.475300579759626, eta: 0.0005, большая delta: 0
