Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, денежный выигрыш: -2.621157889999978, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.0635924272798314, денежный выигрыш: -5.684750317279809, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.0565923287754604, денежный выигрыш: -8.74134264605527, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 6.529885107413007, денежный выигрыш: -2.2114575386422626, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 6.885859156001273, денежный выигрыш: 4.674401617359011, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 3.534301136364876, денежный выигрыш: 8.208702753723887, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 6.5347308955381, денежный выигрыш: 14.743433649261988, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 18.225662643468983, денежный выигрыш: 32.96909629273097, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.097550847469888, денежный выигрыш: 35.06664714020086, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.100688952271435, денежный выигрыш: 37.16733609247229, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.103826339247781, денежный выигрыш: 39.27116243172007, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.106946747640429, денежный выигрыш: 41.3781091793605, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 25.88832735044781, денежный выигрыш: 67.26643652980832, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): -9.128495833021098, денежный выигрыш: 58.13794069678722, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 0.7752201735427278, денежный выигрыш: 58.913160870329946, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.6693892438564739, денежный выигрыш: 59.58255011418642, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.6914286525587668, денежный выигрыш: 60.27397876674519, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -5.455841669130964, денежный выигрыш: 54.818137097614226, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): 11.857536852815514, денежный выигрыш: 66.67567395042974, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): -19.510781568149657, денежный выигрыш: 47.16489238228009, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): 13.539255552554048, денежный выигрыш: 60.70414793483413, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 0.8977860791018862, денежный выигрыш: 61.60193401393602, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): 0.9828838099542917, денежный выигрыш: 62.58481782389031, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): 1.0742194222880233, денежный выигрыш: 63.659037246178336, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -2.6403014353580114, денежный выигрыш: 61.018735810820324, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): -7.202201670779125, денежный выигрыш: 53.8165341400412, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): 5.283335835540802, денежный выигрыш: 59.099869975582, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): -1.2844235056385982, денежный выигрыш: 57.8154464699434, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 1.4171533478101617, денежный выигрыш: 59.23259981775357, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 1.46779179923345, денежный выигрыш: 60.70039161698702, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 1.4804275895168635, денежный выигрыш: 62.180819206503884, eta: 0.0005, большая delta: 0
