Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, денежный выигрыш: -2.621157889999978, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.0627214343550326, денежный выигрыш: -5.6838793243550105, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.099556595177164, денежный выигрыш: -8.783435919532174, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 5.902503221126564, денежный выигрыш: -2.8809326984056103, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 6.752793907849226, денежный выигрыш: 3.8718612094436153, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 2.891068421084947, денежный выигрыш: 6.762929630528562, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 5.609008361825069, денежный выигрыш: 12.371937992353631, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 15.205072182844162, денежный выигрыш: 27.577010175197792, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.079220886582501, денежный выигрыш: 29.656231061780293, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.079286393369127, денежный выигрыш: 31.73551745514942, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.079335240382401, денежный выигрыш: 33.81485269553182, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.0794007471917255, денежный выигрыш: 35.894253442723546, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 25.220410858313876, денежный выигрыш: 61.11466430103742, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): -5.327914831539123, денежный выигрыш: 55.7867494694983, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 1.0110732847956183, денежный выигрыш: 56.79782275429392, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 1.2355378141244124, денежный выигрыш: 58.03336056841833, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 1.2358825894490506, денежный выигрыш: 59.26924315786738, eta: 1e-05, большая delta: 0
